pair_speaker,text,from_ts,to_ts,utterance_from_ts,utterance_to_ts,original_utterance,speaker,pair
019_A,Ja,1043.664,1043.725,1043.664,1045.25,Ja maar of eh *L* was dat.,A,019
019_A,Dit,1046.206,1046.38984375,1046.206,1048.167,Dit is eh met die armen naar achter.,A,019
019_A,En,1048.187,1048.2495833333332,1048.187,1048.938,En met die staaf,A,019
019_A,aan,1049.149,1049.255956521739,1049.149,1049.641,aan de voorkant.,A,019
019_A,en,1049.693,1049.831,1049.693,1049.992,en een,A,019
019_A,"Oh,",1059.678,1060.1554242424243,1059.678,1060.363,"Oh, dat.",A,019
019_A,"Ja,",1061.206,1061.761827586207,1061.206,1062.4,"Ja, even zoeken.",A,019
019_A,"Ja,",1063.137,1063.9223333333332,1063.137,1064.191,"Ja, *C*.",A,019
019_A,Ehm,1065.701,1066.2468378378378,1065.701,1068.693,"Ehm dit is die eh, zeg maar, dat gebouw.",A,019
019_A,Aan,1068.733,1068.8753524590163,1068.733,1071.214,Aan de het komt vanuit de voorkant er tegenaan.,A,019
019_A,En,1071.254,1071.358659090909,1071.254,1072.175,En dan twee ovalen.,A,019
019_A,Eén,1072.255,1072.3778615384617,1072.255,1073.586,Eén naar boven en één naar links.,A,019
019_A,En,1073.996,1074.0780000000002,1073.996,1075.267,En die olifant slurft zo naar achter.,A,019
019_A,ui,1082.01,1082.4504166666666,1082.01,1082.765,(ui) giraf,A,019
